date,rate
2021-11-15,131.1199951171875
2021-11-16,132.00999450683594
2021-11-17,132.58999633789062
2021-11-18,131.7100067138672
2021-11-19,130.39999389648438
2021-11-22,130.72000122070312
2021-11-23,131.35000610351562
2021-11-24,130.9600067138672
2021-11-25,130.57000732421875
2021-11-26,130.83999633789062
2021-11-29,129.57000732421875
2021-11-30,129.8800048828125
2021-12-01,129.27000427246094
2021-12-02,129.2100067138672
2021-12-03,129.5500030517578
2021-12-06,129.27999877929688
2021-12-07,130.16000366210938
2021-12-08,130.27999877929688
2021-12-09,129.63999938964844
2021-12-10,130.22999572753906
2021-12-13,130.1300048828125
2021-12-14,130.49000549316406
2021-12-15,130.27999877929688
2021-12-16,129.9199981689453
2021-12-17,128.7100067138672
2021-12-20,129.9600067138672
2021-12-21,129.6999969482422
2021-12-22,129.77000427246094
2021-12-23,129.30999755859375
2021-12-24,129.67999267578125
2021-12-27,129.75999450683594
2021-12-28,129.7899932861328
2021-12-29,130.3000030517578
2021-12-30,129.6199951171875
2021-12-31,130.07000732421875
2022-01-03,129.49000549316406
2022-01-04,130.3000030517578
2022-01-05,130.52000427246094
2022-01-06,129.49000549316406
2022-01-07,129.32000732421875
2022-01-10,128.5
2022-01-11,128.91000366210938
2022-01-12,129.0399932861328
2022-01-13,128.1999969482422
2022-01-14,128.17999267578125
2022-01-17,128.2899932861328
2022-01-18,128.1999969482422
2022-01-19,128.39999389648438
2022-01-20,127.69999694824219
2022-01-21,128.22999572753906
2022-01-24,128.05999755859375
2022-01-25,128.27999877929688
2022-01-26,128.69000244140625
2022-01-27,129.0500030517578
2022-01-28,129.4499969482422
2022-01-31,128.88999938964844
2022-02-01,127.41000366210938
2022-02-02,127.08999633789062
2022-02-03,126.25
2022-02-04,124.4000015258789
2022-02-07,124.5999984741211
2022-02-08,124.69000244140625
2022-02-09,124.20999908447266
2022-02-10,123.8499984741211
2022-02-11,123.94000244140625
2022-02-14,124.72000122070312
2022-02-15,125.30000305175781
2022-02-16,123.86000061035156
2022-02-17,124.19999694824219
2022-02-18,124.11000061035156
2022-02-21,124.3499984741211
2022-02-22,124.91999816894531
2022-02-23,124.33999633789062
2022-02-24,124.58000183105469
2022-02-25,126.41999816894531
2022-02-28,124.95999908447266
2022-03-01,126.13999938964844
2022-03-02,127.44000244140625
2022-03-03,128.57000732421875
2022-03-04,129.2899932861328
2022-03-07,131.4199981689453
2022-03-08,134.0800018310547
2022-03-09,133.39999389648438
2022-03-10,130.91000366210938
2022-03-11,131.8000030517578
2022-03-14,132.50999450683594
2022-03-15,132.2899932861328
2022-03-16,131.6199951171875
2022-03-17,128.97000122070312
2022-03-18,128.66000366210938
2022-03-21,128.66000366210938
2022-03-22,129.22999572753906
2022-03-23,128.72000122070312
2022-03-24,128.17999267578125
2022-03-25,128.8699951171875
2022-03-28,129.5500030517578
2022-03-29,129.41000366210938
2022-03-30,127.37000274658203
2022-03-31,126.93000030517578
2022-04-01,127.94999694824219
2022-04-04,128.27999877929688
2022-04-05,128.72000122070312
2022-04-06,128.8000030517578
2022-04-07,128.89999389648438
2022-04-08,129.11000061035156
2022-04-11,128.1300048828125
2022-04-12,128.02999877929688
2022-04-13,128.64999389648438
2022-04-14,128.55999755859375
2022-04-15,129.4499969482422
2022-04-18,129.52000427246094
2022-04-19,129.9199981689453
2022-04-20,128.85000610351562
2022-04-21,127.80999755859375
2022-04-22,127.98999786376953
2022-04-25,128.4600067138672
2022-04-26,129.07000732421875
2022-04-27,129.74000549316406
2022-04-28,130.25
2022-04-29,130.9199981689453
2022-05-02,130.49000549316406
2022-05-03,130.07000732421875
2022-05-04,130.6300048828125
2022-05-05,129.4499969482422
2022-05-06,130.63999938964844
2022-05-09,131.58999633789062
2022-05-10,131.52999877929688
2022-05-11,131.99000549316406
2022-05-12,132.2100067138672
2022-05-13,134.3000030517578
2022-05-16,133.63999938964844
2022-05-17,132.0
2022-05-18,131.0
2022-05-19,132.7100067138672
2022-05-20,131.57000732421875
2022-05-23,130.92999267578125
2022-05-24,130.11000061035156
2022-05-25,129.11000061035156
2022-05-26,128.94000244140625
2022-05-27,128.3800048828125
2022-05-30,128.02000427246094
2022-05-31,126.58999633789062
2022-06-01,126.6500015258789
2022-06-02,128.24000549316406
2022-06-03,127.2300033569336
2022-06-06,128.64999389648438
2022-06-07,129.05999755859375
2022-06-08,129.55999755859375
2022-06-09,129.30999755859375
2022-06-10,129.3800048828125
2022-06-13,131.77000427246094
2022-06-14,132.67999267578125
2022-06-15,131.6300048828125
2022-06-16,131.2100067138672
2022-06-17,130.27000427246094
2022-06-20,130.9600067138672
2022-06-21,130.60000610351562
2022-06-22,131.38999938964844
2022-06-23,131.1999969482422
2022-06-24,132.5
2022-06-27,131.92999267578125
2022-06-28,131.74000549316406
2022-06-29,132.64999389648438
2022-06-30,133.24000549316406
2022-07-01,132.0800018310547
2022-07-04,133.22000122070312
2022-07-05,133.41000366210938
2022-07-06,134.72000122070312
2022-07-07,135.30999755859375
2022-07-08,136.6999969482422
2022-07-11,136.92999267578125
2022-07-12,138.14999389648438
2022-07-13,137.77000427246094
2022-07-14,137.5500030517578
2022-07-15,138.4499969482422
2022-07-18,137.2899932861328
2022-07-19,136.6300048828125
2022-07-20,135.66000366210938
2022-07-21,136.88999938964844
2022-07-22,136.19000244140625
2022-07-25,136.4499969482422
2022-07-26,136.14999389648438
2022-07-27,137.02999877929688
2022-07-28,135.8000030517578
2022-07-29,135.58999633789062
2022-08-01,135.58999633789062
2022-08-02,134.86000061035156
